day_pt,total_membership,interval_start_timestamp
2025-09-04T00:00:00+00:00,1614,2025-09-04T00:00:00+00:00
2025-09-05T00:00:00+00:00,1618,2025-09-05T00:00:00+00:00
2025-09-06T00:00:00+00:00,1622,2025-09-06T00:00:00+00:00
2025-09-07T00:00:00+00:00,1627,2025-09-07T00:00:00+00:00
2025-09-08T00:00:00+00:00,1624,2025-09-08T00:00:00+00:00
2025-09-09T00:00:00+00:00,1618,2025-09-09T00:00:00+00:00
2025-09-10T00:00:00+00:00,1623,2025-09-10T00:00:00+00:00
2025-09-11T00:00:00+00:00,1630,2025-09-11T00:00:00+00:00
2025-09-12T00:00:00+00:00,1645,2025-09-12T00:00:00+00:00
2025-09-13T00:00:00+00:00,1671,2025-09-13T00:00:00+00:00
2025-09-14T00:00:00+00:00,1675,2025-09-14T00:00:00+00:00
2025-09-15T00:00:00+00:00,1678,2025-09-15T00:00:00+00:00
2025-09-16T00:00:00+00:00,1676,2025-09-16T00:00:00+00:00
2025-09-17T00:00:00+00:00,1674,2025-09-17T00:00:00+00:00
2025-09-18T00:00:00+00:00,1677,2025-09-18T00:00:00+00:00
2025-09-19T00:00:00+00:00,1686,2025-09-19T00:00:00+00:00
2025-09-20T00:00:00+00:00,1688,2025-09-20T00:00:00+00:00
2025-09-21T00:00:00+00:00,1682,2025-09-21T00:00:00+00:00
2025-09-22T00:00:00+00:00,1686,2025-09-22T00:00:00+00:00
2025-09-23T00:00:00+00:00,1710,2025-09-23T00:00:00+00:00
2025-09-24T00:00:00+00:00,1711,2025-09-24T00:00:00+00:00
2025-09-25T00:00:00+00:00,1719,2025-09-25T00:00:00+00:00
2025-09-26T00:00:00+00:00,1712,2025-09-26T00:00:00+00:00
2025-09-27T00:00:00+00:00,1719,2025-09-27T00:00:00+00:00
2025-09-28T00:00:00+00:00,1720,2025-09-28T00:00:00+00:00
2025-09-29T00:00:00+00:00,1734,2025-09-29T00:00:00+00:00
2025-09-30T00:00:00+00:00,1742,2025-09-30T00:00:00+00:00
2025-10-01T00:00:00+00:00,1752,2025-10-01T00:00:00+00:00
2025-10-02T00:00:00+00:00,1768,2025-10-02T00:00:00+00:00
2025-10-03T00:00:00+00:00,1781,2025-10-03T00:00:00+00:00
2025-10-04T00:00:00+00:00,1787,2025-10-04T00:00:00+00:00
2025-10-05T00:00:00+00:00,1794,2025-10-05T00:00:00+00:00
2025-10-06T00:00:00+00:00,1819,2025-10-06T00:00:00+00:00
2025-10-07T00:00:00+00:00,1830,2025-10-07T00:00:00+00:00
2025-10-08T00:00:00+00:00,1844,2025-10-08T00:00:00+00:00
2025-10-09T00:00:00+00:00,1848,2025-10-09T00:00:00+00:00
2025-10-10T00:00:00+00:00,1864,2025-10-10T00:00:00+00:00
2025-10-11T00:00:00+00:00,1878,2025-10-11T00:00:00+00:00
2025-10-12T00:00:00+00:00,1885,2025-10-12T00:00:00+00:00
2025-10-13T00:00:00+00:00,1890,2025-10-13T00:00:00+00:00
2025-10-14T00:00:00+00:00,1896,2025-10-14T00:00:00+00:00
2025-10-15T00:00:00+00:00,1896,2025-10-15T00:00:00+00:00
2025-10-16T00:00:00+00:00,1910,2025-10-16T00:00:00+00:00
2025-10-17T00:00:00+00:00,1926,2025-10-17T00:00:00+00:00
2025-10-18T00:00:00+00:00,1931,2025-10-18T00:00:00+00:00
2025-10-19T00:00:00+00:00,1930,2025-10-19T00:00:00+00:00
2025-10-20T00:00:00+00:00,1935,2025-10-20T00:00:00+00:00
2025-10-21T00:00:00+00:00,1953,2025-10-21T00:00:00+00:00
2025-10-22T00:00:00+00:00,1964,2025-10-22T00:00:00+00:00
2025-10-23T00:00:00+00:00,1961,2025-10-23T00:00:00+00:00
2025-10-24T00:00:00+00:00,1966,2025-10-24T00:00:00+00:00
2025-10-25T00:00:00+00:00,1969,2025-10-25T00:00:00+00:00
2025-10-26T00:00:00+00:00,1970,2025-10-26T00:00:00+00:00
2025-10-27T00:00:00+00:00,1981,2025-10-27T00:00:00+00:00

2025-10-28T00:00:00+00:00,2063,2025-10-28T00:00:00+00:00
